index,tree_name,dec_b_glcm_mean,dec_blue_mean_homogeneity,dec_blue_mean_contrast,dec_blue_mean_dissimilarity,dec_blue_mean_ASM,dec_blue_mean_correlation,dec_blue_mean_energy
0,Falcataria Moluccana,39601077.0,0.3809722455338034,14.130260989010988,2.4382108516483516,0.00292936667516142,0.9438756753608517,0.054123624002476216
1,Ficus Variegata,19262840.0,0.1934090441359872,61.54456920572737,5.597477032582008,0.0008615623359269464,0.8718133841472178,0.029352382116737075
2,Bridelia Sp.,18842225.0,0.29365007301401436,25.63613537117904,3.472578404128623,0.001515707920102751,0.9370517889946902,0.03893209370304596
3,Falcataria Moluccana,21487356.0,0.38479686877394165,16.26783068783069,2.5356349206349207,0.002553979626830156,0.9499106411878739,0.05053691350715985
4,Falcataria Moluccana,20155279.0,0.4399947413707742,9.270452229523174,1.9294001897466528,0.0043318708406027764,0.9528116712026953,0.06581694949329372
5,Spathodea Campanulatum,10820860.0,0.20013942002680868,53.211491699789576,5.228209025017536,0.0008364498949281979,0.9026719135165023,0.028921443513908462
6,Terminalia Catappa,27708437.0,0.22788550474809097,54.6885853961696,4.91631726830293,0.000724551349736251,0.9349497632798027,0.02691749152012964
7,Spathodea Campanulatum,3183045.0,0.2178466934654573,47.47340707101663,4.871590560833588,0.0010848379989457004,0.8709328966275447,0.03293687901039958
8,Shorea Leprosula,478658.0,0.3378820415059166,18.11369701483274,2.909203748526035,0.0031307971113170435,0.8927303894756373,0.05595352635283181
9,Syzygium Polyanthum,1176839.0,0.27214432995263893,34.54198633736206,3.9430723419162734,0.0014270019701662468,0.9167161960484892,0.03777567961223526
10,Cinnamomum Iners,1605563.0,0.20864066391962013,45.381925675675674,4.903941441441441,0.0008399606585047885,0.917486548832204,0.02898207477915942
11,Clausena Excavata,481978.0,0.2869327542343276,23.79734432234432,3.4447802197802204,0.0021540147123938333,0.9152790500994958,0.04641136404366751
12,Cinnamomum Iners,3049336.0,0.25484603851877385,27.844104531444685,3.768460226900125,0.001318395285085944,0.9248990373623507,0.036309713371024344
13,Alstonia Angulstiloba,3121528.0,0.2667044643360743,26.799097469983547,3.695306518091328,0.001780721922900405,0.8931155832261969,0.04219860095904134
14,Spathodea Campanulatum,4022347.0,0.23138696412019752,38.26001680672269,4.39655462184874,0.0012668949932914343,0.9014902559024663,0.03559346840772102
15,Clausena Excavata,1924480.0,0.24532256210308767,34.6435790725327,4.172512881490289,0.001242544512011492,0.9134230185513186,0.03524974485030341
16,Syzygium Polyanthum,1198077.0,0.19933872164582098,53.65969469511681,5.257738045036687,0.0008696687094115392,0.8920534600130302,0.029490145971350145
17,Sandoricum Koetjape,5113260.0,0.21741343830753673,45.57267645600779,4.830492828937247,0.0007737021761650695,0.9319574520828439,0.027815502443153343
18,Sterculia Parviflora,1277695.0,0.21718309620610166,37.32122355901549,4.518754423213022,0.0011290680891464368,0.8949247067172083,0.03360160843094325
19,Alstonia Angulstiloba,3471296.0,0.25251387999398645,28.57303678295139,3.8882097504014013,0.0012932806318836927,0.9312589017297072,0.03596221116510625
20,Claoxylon Indicum,1050528.0,0.19430514926151463,51.7798304716366,5.2574440339056725,0.0008200873405661366,0.9084604840296294,0.028637167118381955
21,Bridelia Sp.,2321031.0,0.23333776854562382,36.477856101118135,4.345527467185221,0.0013775566032630084,0.8839306082706998,0.037115449657292424
22,Pometia Pinnata,299334.0,0.22875293493183108,33.38106210226026,4.325762563089752,0.0013193403392206269,0.9099597027905526,0.036322724831992254
23,Sterculia Parviflora,633375.0,0.20987537136880705,42.83383726399247,4.839481287374857,0.0009530067013917769,0.9157484456230037,0.030870806620361846
24,Calophyllum,236208.0,0.2240865107338536,34.5296160130719,4.355596405228758,0.0015059979601862532,0.8946007599419872,0.03880718954248366
25,Pennisetum Purpureum,3053375.0,0.2071356498599254,41.38321254322391,4.8145042868646675,0.0008904921852116312,0.9166199930285902,0.029841115683091193
26,Sterculia Parviflora,684486.0,0.3176455388394805,25.988489208633098,3.415712230215827,0.0023564743025723304,0.9309473396999453,0.048543529976427656
27,Campnosperma Auriculatum,7349194.0,0.20085428195911098,60.43344807802639,5.402945113788487,0.0008266607167589755,0.8843059490405233,0.028751708066808407
28,Leea Indica,1295331.0,0.2848449364624502,25.054105809802014,3.4824732229795523,0.0017183824259859905,0.9181369969916087,0.04145337653299174
29,Dillenia Suffruticosa,271124.0,0.23544910979471462,33.906846240179576,4.235690235690235,0.00133817481776236,0.9177613432832911,0.036581071850922575
30,Sterculia Parviflora,1015037.0,0.2551460542960996,38.013086392369964,4.178329821448376,0.0013547399143994875,0.90631705563973,0.03680679168848444
31,Ficus Variegata,4420776.0,0.19053240959406226,58.60687648770167,5.514070351758794,0.0007221802018066502,0.9046995799995073,0.02687341068429257
32,Spathodea Campanulatum,8126339.0,0.18367486708547315,71.04618070249683,5.976900832275357,0.0006851091265470609,0.886630564311557,0.02617458932910048
