index,tree_name,dec_g_glcm_mean,dec_green_mean_homogeneity,dec_green_mean_contrast,dec_green_mean_dissimilarity,dec_green_mean_ASM,dec_green_mean_correlation,dec_green_mean_energy
0,Falcataria Moluccana,69590079.0,0.36675530854711474,22.78916037087912,2.945788118131868,0.002667249609775956,0.9402910324966568,0.0516454219633837
1,Ficus Variegata,30648551.0,0.19762919511768945,97.44935098077083,6.757942036582337,0.0014087503269097552,0.8862383079704024,0.03753332288659979
2,Bridelia Sp.,28302761.0,0.26283977746243453,41.0544495170041,4.29289069736668,0.0010893052365779942,0.9505542023005209,0.03300462447260981
3,Falcataria Moluccana,38193564.0,0.3943408460850145,23.092635582010583,2.8447982804232805,0.0031160677269235883,0.949443978271405,0.055821749586729974
4,Falcataria Moluccana,40299570.0,0.48400875246000563,9.862503953055272,1.862581257247268,0.006511362608575804,0.9593066184588286,0.08069301462069567
5,Spathodea Campanulatum,18765176.0,0.22001686294183284,68.93469721767595,5.67823240589198,0.0016926552655156045,0.9158687441392698,0.04114189185630146
6,Terminalia Catappa,52539131.0,0.2722102798169758,63.57805661566471,5.034675781660305,0.00216044209794371,0.920893770168656,0.046480556127737
7,Spathodea Campanulatum,5462427.0,0.19684105811695934,74.8400663081938,5.893307887331791,0.0006469158434556253,0.9189597129911996,0.025434540362578313
8,Shorea Leprosula,934592.0,0.25880765275954476,46.40048408117669,4.545336064047662,0.0014240178444939592,0.9236288468434478,0.03773616096655778
9,Syzygium Polyanthum,2165246.0,0.23547470907527493,64.78255386232264,5.037029252058153,0.0008095958721530149,0.9515193842504618,0.028453398253161517
10,Cinnamomum Iners,3611560.0,0.20881965476356265,92.6450731981982,6.364780405405405,0.0012384728214278468,0.9385832577667207,0.0351919425639996
11,Clausena Excavata,970558.0,0.24037912320027865,43.79990842490842,4.568956043956044,0.0012991042077580537,0.9506278327125717,0.03604308821061333
12,Cinnamomum Iners,6420128.0,0.26483091751499854,36.301741097776905,3.9875893501213198,0.0010952167289008967,0.9453237082166527,0.033094058815758706
13,Alstonia Angulstiloba,7665210.0,0.2837569000754484,43.425443526709344,4.278155189547595,0.004287694763988348,0.8998344116960569,0.06548049147638056
14,Spathodea Campanulatum,6699903.0,0.23065385508955602,54.024252100840336,5.061831932773109,0.001665292705317421,0.9061616758686786,0.040807998055741736
15,Clausena Excavata,4142623.0,0.2318602286996569,54.97460860087198,5.014194411414983,0.0010383443902502055,0.9420243781068522,0.03222335162968318
16,Syzygium Polyanthum,2273639.0,0.21363831635563713,70.45825250906637,5.760858564561019,0.0010957772569210149,0.9502776590797766,0.03310252644317371
17,Sandoricum Koetjape,10776957.0,0.2161475976104426,78.61166002837655,5.915528470572146,0.0009074135923684401,0.9578503440697708,0.03012330646473657
18,Sterculia Parviflora,2399670.0,0.16292597551469012,85.78540536290005,6.744515215852796,0.0006736231931804938,0.9210684152833677,0.0259542519287398
19,Alstonia Angulstiloba,6421763.0,0.2530713410355181,47.05106918698,4.7181250912275585,0.002251678160957254,0.9098603918727045,0.047451850975038415
20,Claoxylon Indicum,1674524.0,0.15959898620950178,99.42795044555531,7.178004781569224,0.0006291820484863837,0.9251741734169401,0.02508350151965199
21,Bridelia Sp.,3512796.0,0.18478878899010046,72.72615459406903,6.037530384054447,0.0007091918958208321,0.9154992070109461,0.026630657067012675
22,Pometia Pinnata,937877.0,0.20830194144602646,72.08986175115209,6.061553653719552,0.0023600615113494976,0.9238693871315734,0.04858046429738499
23,Sterculia Parviflora,1180048.0,0.17187360246090458,77.0963515420278,6.422697036887724,0.0006807877587989065,0.9273835434309254,0.026091909834255262
24,Calophyllum,410672.0,0.1514251758565009,99.71936274509804,7.302696078431373,0.0006802438431799735,0.8990847351539137,0.026081484681282498
25,Pennisetum Purpureum,4803863.0,0.18486602744978353,58.54001863167701,5.704340549160785,0.0006595375380499978,0.9289616462275512,0.025681462926593526
26,Sterculia Parviflora,1329985.0,0.24600546010449928,93.90348201438849,6.133122302158274,0.001244177423528803,0.9623519834475189,0.035272899278749444
27,Campnosperma Auriculatum,9500499.0,0.22635154601937044,56.68702189711225,5.1221911455345195,0.001547170994741289,0.8688788578333754,0.03933409455855427
28,Leea Indica,3273554.0,0.2517201635575712,54.171502758844525,4.805842259006816,0.0012675989124536573,0.9378006093871133,0.03560335535386598
29,Dillenia Suffruticosa,572874.0,0.19569089969141742,76.72727272727273,6.138327721661055,0.0007884525514529256,0.9354735021699212,0.02807939727723737
30,Sterculia Parviflora,1739014.0,0.18727023132722032,108.07763114117778,6.869357879560829,0.0008225701335354268,0.9024659481113914,0.028680483495496144
31,Ficus Variegata,8102167.0,0.19721764023304222,90.87622322137,6.554192012695054,0.0016405423881612436,0.9097897362377966,0.04050360956953397
32,Spathodea Campanulatum,12192442.0,0.19695279199309582,91.38205318098463,6.556813372831147,0.0013788942318923732,0.8827333989905244,0.03713346512099797
