index,tree_name,dec_RE_glcm_mean,dec_RE_mean_homogeneity,dec_RE_mean_contrast,dec_RE_mean_dissimilarity,dec_RE_mean_ASM,dec_RE_mean_correlation,dec_RE_mean_energy
0,Falcataria Moluccana,56.28864386258644,0.23356963468517147,55.78306449348693,4.835622462480298,0.0006578077671241089,0.9538225382372295,0.025572448483063604
1,Ficus Variegata,47.643126051879825,0.14372679604874572,141.8585485013365,8.393021337192387,0.00030860898841591296,0.9098352341442479,0.017519485125300095
2,Bridelia Sp.,31.869713897074078,0.26112404979268083,35.23227931004543,3.9917955644342866,0.0009451208618591902,0.96727722387916,0.030656515650015235
3,Falcataria Moluccana,59.62498664105654,0.21805323284604192,60.2493097668052,5.109652926359404,0.00047655330146103924,0.965419322304145,0.021764694978974524
4,Falcataria Moluccana,64.92080113098973,0.2204251436796321,61.16859592704337,5.037615288702671,0.0005338845744601567,0.9627673599182641,0.023035262452768927
5,Spathodea Campanulatum,57.88891711021968,0.13152605693225713,152.2389913514676,8.72874465275291,0.00021667786358169164,0.9424881162476708,0.014680760487003558
6,Terminalia Catappa,59.593943751837045,0.14846403904223665,170.7959736151914,8.685256584166519,0.00023374067514316563,0.9319141027099311,0.015239087771272834
7,Spathodea Campanulatum,36.293856717108525,0.2093275037593828,64.13893877871163,5.41370379569933,0.0005072773317158552,0.9580985404500099,0.022459434076328864
8,Shorea Leprosula,25.30227642345788,0.3074995410950717,42.26150161032102,3.9650353541211665,0.00274366425597596,0.927792965154089,0.05222071360083098
9,Syzygium Polyanthum,35.70575286450314,0.23236246882183578,65.35612164115393,5.11575443657876,0.0006156535483286935,0.954107742592547,0.0247369385086538
10,Cinnamomum Iners,52.29341200849412,0.13629978166722204,149.5761006192228,8.58754954432382,0.00023070643484034072,0.9435429296341663,0.015148309625677255
11,Clausena Excavata,45.8584932504605,0.18301299489731487,57.883933613696,5.6000325398495985,0.0004975477538893965,0.9616294297062715,0.022247146914504183
12,Cinnamomum Iners,46.077322233680974,0.1517360667513129,121.44223853120491,7.649897128228152,0.00028126113812721885,0.9464166913740695,0.016722636934473616
13,Alstonia Angulstiloba,65.43308327730458,0.14765330290494533,85.25562780344266,6.857299791070872,0.0004048830224010256,0.9392204245207513,0.020054882906912153
14,Spathodea Campanulatum,62.08663331794982,0.11526318482255753,171.50263788514985,9.51321240725849,0.0002559877887002005,0.9056772236573593,0.01595756414977476
15,Clausena Excavata,49.92469317821769,0.17770495671020947,68.76433674710937,5.98112179052575,0.00038294074861759095,0.9631951509947715,0.019514156935107385
16,Syzygium Polyanthum,48.33082337508304,0.16445732942387953,95.3797727128408,6.934950379967037,0.0003076356229550237,0.9649609633994178,0.017497225538952395
17,Sandoricum Koetjape,44.32773941136499,0.19017748458654227,100.66944254258979,6.571901824992113,0.0003188145956252205,0.9684167713731417,0.017800832076999656
18,Sterculia Parviflora,47.78929982963884,0.16142260853056284,82.09797490830739,6.663292850555253,0.0003959780035745629,0.9445954797215603,0.019847323749805777
19,Alstonia Angulstiloba,63.03819759794034,0.13540201248152622,106.97303055876716,7.665330517179838,0.0003795963646242548,0.9013827514699891,0.01943889346279725
20,Claoxylon Indicum,36.626592814879494,0.1873272712204093,61.613543571573054,5.71441938762154,0.0005637996029701801,0.939704464669482,0.023680017412267808
21,Bridelia Sp.,33.75967849824575,0.24518226844578905,33.030846589028904,4.070764382164565,0.0010788182092357683,0.9357445311163862,0.032757205254036345
22,Pometia Pinnata,46.63778846186712,0.1720084563891805,64.23249463799807,5.977880663264305,0.0005521391940175956,0.9388236066268437,0.023444170316689467
23,Sterculia Parviflora,31.996795979744157,0.20816858062704668,41.47965462145914,4.789664377665466,0.0007667611914643541,0.9423845882824068,0.027621965470013242
24,Calophyllum,44.465479332621115,0.19833759013427532,40.70264297427363,4.819785592668515,0.0009085859887422944,0.9436191574673546,0.030088413955699125
25,Pennisetum Purpureum,20.22302260087549,0.29077621232197587,16.805455581870678,3.06429414425273,0.0018039999777607603,0.9473092306917986,0.04235316554353463
26,Sterculia Parviflora,41.04681805316114,0.2490981135479217,67.3393073716148,5.3548675446739695,0.001279844621286694,0.9671537843432023,0.03567898251386055
27,Campnosperma Auriculatum,47.67455355858391,0.15191712897200296,148.09197481297002,8.24303431950985,0.00039020867730058916,0.8783268633178801,0.019697110031349233
28,Leea Indica,49.55823034049301,0.18442595557196811,69.8346020603948,5.868742833714747,0.000457822048129856,0.9506178596768686,0.021336896723860462
29,Dillenia Suffruticosa,46.04554619303289,0.15365491488092362,93.1995204138953,7.081914782182544,0.0004499161825932115,0.933951974855002,0.021154363193079784
30,Sterculia Parviflora,56.69062501966337,0.16164482349563103,103.53949183057603,7.0251523382717345,0.0004810120033494828,0.9286094565291305,0.021872754781592462
31,Ficus Variegata,60.75751795186195,0.12117408129417938,164.21521586284666,9.277870917041595,0.0002124599984707888,0.9330498882356904,0.01453524734510394
32,Spathodea Campanulatum,49.39645659561572,0.14324371564686517,152.5873618557963,8.473391474627386,0.00028629196839554327,0.9179862108517447,0.01687572251241011
