index,tree_name,dec_r_glcm_mean,dec_red_mean_homogeneity,dec_red_mean_contrast,dec_red_mean_dissimilarity,dec_red_mean_ASM,dec_red_mean_correlation,dec_red_mean_energy
0,Falcataria Moluccana,107.38108310796703,0.23846528396806546,72.01696391284338,5.293931732605358,0.0007107756724000192,0.9319756697766652,0.026586520342548766
1,Ficus Variegata,95.54481240855912,0.1015880266751757,369.91182148784816,13.348730089528244,0.00017189830042507596,0.8695638815340566,0.013078663135706233
2,Bridelia Sp.,89.76388307801764,0.15244531936834024,150.40890811460443,8.271919840525056,0.00029647862362980196,0.934025922028695,0.0171722290901197
3,Falcataria Moluccana,106.732556659782,0.22823937041745185,94.1935478816237,5.901113307739925,0.0005290448377849341,0.9410615444105442,0.02293504921368903
4,Falcataria Moluccana,113.60704042118192,0.26743989796354606,54.57410965803612,4.522452525269413,0.0008441105252144296,0.9494405386611693,0.02897222255858333
5,Spathodea Campanulatum,97.4989517744854,0.10684506725949675,297.6369404621714,11.958679593555527,0.00019198002173904314,0.8981568703193389,0.013821784188861931
6,Terminalia Catappa,104.43694808939041,0.1492557745860111,262.53257819708284,10.41457704472921,0.00030876093606793903,0.9065709260745131,0.017522986726282837
7,Spathodea Campanulatum,67.21644756655245,0.10639791445361273,298.9162047946154,11.914552146942825,0.00016970638059285158,0.8959421130027752,0.01299594321238659
8,Shorea Leprosula,72.59903468348982,0.1760804122842778,116.17102420540175,7.1690671233242895,0.00048364888282396117,0.902312294245065,0.02193962473609671
9,Syzygium Polyanthum,75.73218925249489,0.14108752084287374,233.63932426222783,9.631313776140122,0.00024604415138874866,0.932766344784512,0.015646750661457685
10,Cinnamomum Iners,96.88402877574639,0.10886835452822564,337.6035437205422,12.497759082413987,0.00019595970502683381,0.9152419409245895,0.013962417621247
11,Clausena Excavata,81.3833811931147,0.1336397291250566,192.31382671136433,9.539765533524067,0.0003550072141635186,0.9115774638527006,0.01878908402789832
12,Cinnamomum Iners,90.96469635399623,0.11531427401332953,239.6482604884979,10.696415414036643,0.00018028557724294005,0.917461743074119,0.013378236077124085
13,Alstonia Angulstiloba,121.07884233769741,0.19394870199722683,120.12926639244614,7.136580104145469,0.0011678866028252332,0.9024132701581844,0.034104960466547755
14,Spathodea Campanulatum,102.45250850168088,0.11284301812746518,231.66351543547347,10.745884521552831,0.00026841870735262496,0.8715546155717531,0.016339661664101335
15,Clausena Excavata,92.303824193751,0.12489120147579404,216.4902104756179,10.094869414047537,0.00024969983472147335,0.9224913786049405,0.01576460719720824
16,Syzygium Polyanthum,88.87232322175878,0.11180306445533346,294.84430330140464,11.782176554215074,0.0001718138575611876,0.9347626545480737,0.01308556372610948
17,Sandoricum Koetjape,87.93950878963236,0.12616272766919706,303.3800968891833,11.536969302425337,0.00021694895186707305,0.9519890889519891,0.014688180346846734
18,Sterculia Parviflora,96.65544424336215,0.11003183631196206,197.58931807515543,10.2533060952538,0.0002534941302622194,0.9033406212552761,0.015888620578196677
19,Alstonia Angulstiloba,109.26023654306566,0.15298846372295505,134.29261904999657,8.041602155370379,0.0004069240486447316,0.8944789794658667,0.020127655411719257
20,Claoxylon Indicum,89.8316126355206,0.09732756076124811,287.7624443623576,12.21710728442893,0.00019902421035830945,0.9015445566358532,0.014082068936688612
21,Bridelia Sp.,88.05796241370177,0.11557273721170246,227.18050538941898,10.54327846325413,0.00023319290388468998,0.8881176251285289,0.015237586590834958
22,Pometia Pinnata,97.99846450336402,0.1198564204662284,195.03047589348222,10.091876505358345,0.00027596433653327755,0.9153729409345017,0.0165822942845741
23,Sterculia Parviflora,80.20689068224475,0.1022338735972653,263.49443330468137,11.66075057039865,0.0002209852697580496,0.8992233814411346,0.014839435512204398
24,Calophyllum,98.45522643839956,0.12228631392039799,156.33722349005603,9.100020103284136,0.0004813556972170147,0.8754655349784315,0.021917737742536993
25,Pennisetum Purpureum,73.06547748215354,0.09562215514479769,251.9067703913674,11.816485860734383,0.00015265648005959173,0.9153950173898406,0.012329190348867486
26,Sterculia Parviflora,105.64193797243317,0.2125621978698487,119.01555844080542,6.904815875410301,0.0006398489065558847,0.9460970982276531,0.025233882070541967
27,Campnosperma Auriculatum,102.50414696814967,0.10342846277475051,332.2259739780761,12.630998190344831,0.00022127948605496587,0.8285370440657833,0.014836748250894923
28,Leea Indica,106.95757384841716,0.1598311757835908,143.06621120924243,8.003120098410719,0.0003914703859465721,0.9228540361121813,0.019732627448969076
29,Dillenia Suffruticosa,80.54232406546062,0.11074157660163564,242.83481854537297,11.085314180383357,0.00028525749594676176,0.9046062433523684,0.016855019829689826
30,Sterculia Parviflora,102.56155642056527,0.1367097541530195,189.67800180043912,9.173065694726272,0.0003917102809880525,0.8755705967094188,0.019749078645090085
31,Ficus Variegata,97.02313292394129,0.10177614679735829,355.16283712775675,13.055537499502526,0.00019502123704757891,0.8873583459191201,0.013930411720497918
32,Spathodea Campanulatum,99.48549352397961,0.10094189536516343,350.84339173367846,13.025720305514449,0.00019464233367377445,0.8617897436554869,0.013920361343519191
