index,tree_name,may_b_glcm_mean,may_blue_mean_homogeneity,may_blue_mean_contrast,may_blue_mean_dissimilarity,may_blue_mean_ASM,may_blue_mean_correlation,may_blue_mean_energy
0,Falcataria Moluccana,46.58983779377239,0.08698113601456299,364.83451086967136,13.791452414727587,0.0001985763301913255,0.7425499207817007,0.014070395907690797
1,Ficus Variegata,35.09794278342166,0.06163911039823502,654.3849680447254,18.943068769285585,9.72818333523643e-05,0.7778793041989832,0.009844921084378065
2,Bridelia Sp.,46.97225893672255,0.0846978300460917,344.67790441021066,13.56312347599598,0.00015304365296397115,0.8493151830399468,0.012342992472803235
3,Falcataria Moluccana,45.238585425569035,0.09024060710698448,376.7332120837743,13.776320534584862,0.00016323682103935394,0.8164220917642637,0.012752710110721197
4,Falcataria Moluccana,37.957628147655186,0.0825621201463828,437.485925193354,14.967588651574303,0.0001786566974100842,0.7313106738199069,0.013347847324878731
5,Spathodea Campanulatum,48.608496692782644,0.06855658611032715,517.0422808662804,16.70893265144536,0.00011128158961627938,0.816263445319509,0.010526522010040132
6,Terminalia Catappa,39.00453566979079,0.06714784498514405,599.1255983096137,17.748075103763988,0.00010497088072408073,0.7915121047637836,0.010224288078633898
7,Spathodea Campanulatum,35.33849129755429,0.06988225067451588,478.96944529059994,16.29631825909376,0.0001155751425099732,0.8192981726112614,0.010728326422661213
8,Shorea Leprosula,27.697097312914707,0.13492208727194685,196.1375805830077,9.943478461420307,0.00046011249226168057,0.8254398187555905,0.021406496504839945
9,Syzygium Polyanthum,31.74140869859141,0.09673651318967759,251.30965548068656,11.669064903814435,0.00024183447348992572,0.8248348117543416,0.015519702247247316
10,Cinnamomum Iners,29.70509416410161,0.07479903149241103,386.4915611261218,14.775759144544748,0.00015739034666872883,0.8082335844678699,0.012519720924881721
11,Clausena Excavata,25.795200674901984,0.08885311852214277,272.5690146360592,12.335078746308803,0.0002501933807807969,0.7972299981519975,0.015787598065774393
12,Cinnamomum Iners,40.88867022930542,0.08716412348289387,286.83304812203926,12.608618116290392,0.00017813904731304187,0.854489127336691,0.013318690365438009
13,Cratoxylum Formosum,37.42480506179501,0.09352392847310345,284.77866704061233,12.213291354255094,0.00016835568555504928,0.881073367095905,0.012942104915954237
14,Alstonia Angulstiloba,40.004441872954345,0.11882164619801819,208.1699795435654,10.082674850329626,0.00033605182855448395,0.8228950852967409,0.018291061730437607
15,Spathodea Campanulatum,57.698608855662286,0.0827099597955119,363.52362234769845,13.940071742170423,0.0001471065086011847,0.8608316064104907,0.012102599097614488
16,Clausena Excavata,24.768086166227413,0.09302056204415285,269.6607442853835,12.103513453461694,0.0002490459096988953,0.7902704689685495,0.01574739453311537
17,Syzygium Polyanthum,40.23760322472004,0.07548787760197617,367.19107316068585,14.448931281350019,0.0001715883452971426,0.8067767722294101,0.013076819503115397
18,Sandoricum Koetjape,35.185282784537634,0.07516089083615639,390.61712423147355,14.763192741487305,0.00013004738122838477,0.8708996850157539,0.011378145051746339
19,Sterculia Parviflora,31.44252698646606,0.0857102549884002,288.2491715898032,12.750503098361651,0.00021094851082286543,0.824930585665122,0.014495272811552624
20,Alstonia Angulstiloba,36.82715844522892,0.11167713024692716,169.20077617242714,9.643111408262701,0.0003155201784993648,0.8585791984539592,0.017725694364519325
21,Claoxylon Indicum,31.527955125427763,0.08106698988147691,325.0296563534624,13.569105399849345,0.00017458559412579684,0.8227355809496821,0.013185584188207363
22,Bridelia Sp.,37.11561009055913,0.08034356625490413,328.1252264086294,13.59112266794716,0.00019365155654988648,0.7879691785380258,0.013888526069147493
23,Pometia Pinnata,22.270543938737212,0.11425035728755417,189.31243150875923,9.913208206510737,0.0003470961608643593,0.8926755348826716,0.018585304653697492
24,Sterculia Parviflora,30.644388757057524,0.09514120170859405,249.84401221597176,11.68416443689712,0.0002276936512641631,0.8949787646572055,0.015060732271003656
25,Calophyllum,50.132722885869484,0.09115309432701901,246.13691157223144,11.863774950539497,0.00024361964485528073,0.8917511200752313,0.015586704082507872
26,Pennisetum Purpureum,42.11038380282237,0.0802346477142136,327.7513789975358,13.623616207916552,0.00016486942272247315,0.8352393455224587,0.012810809545902047
27,Sterculia Parviflora,44.5267227412362,0.14728256437776624,142.92098605675028,8.407777146544058,0.0005822627657115695,0.8537141236021756,0.02408574838087057
28,Campnosperma Auriculatum,59.409557704397784,0.06936657926503469,603.250585936788,17.617867157059976,8.75250474676972e-05,0.8491259303239033,0.009332898258482991
29,Leea Indica,38.66302639647768,0.1250895530620315,162.47881308622567,9.115843892154906,0.00030580255086004517,0.9088843055850347,0.01744064781281397
30,Dillenia Suffruticosa,21.364208878753026,0.11106264793157433,220.2098853258746,10.760708881842557,0.00034836395856766147,0.8855574743509808,0.018622791304904122
31,Sterculia Parviflora,39.18333047506941,0.10183336226957204,196.55172246669372,10.532379505537849,0.0002620146416571882,0.8694961814795287,0.016154545784487107
32,Ficus Variegata,47.128716860753975,0.06915233803364335,437.0772102043793,15.726542819747285,0.0001237316551463268,0.836200079196703,0.011098744100086873
33,Spathodea Campanulatum,55.94593956110559,0.06824725547610351,555.8729798628074,17.08058248121602,9.432908833758404e-05,0.8543080314705698,0.009690729523824042
