index,tree_name,may_g_glcm_mean,may_green_mean_homogeneity,may_green_mean_contrast,may_green_mean_dissimilarity,may_green_mean_ASM,may_green_mean_correlation,may_green_mean_energy
0,Falcataria Moluccana,102.40950856113433,0.10804785808467408,378.7654182703485,13.340117240849892,0.00022321889801262234,0.8023095398035458,0.014910704493197896
1,Ficus Variegata,106.56570044286093,0.11460001456623078,640.6986228352448,16.982653692987537,0.0008750929406923402,0.8377721867202859,0.029475520365198266
2,Bridelia Sp.,107.0162423397444,0.11789429768359311,337.87050028774195,12.648574092753584,0.0004832923060365197,0.8926570579699341,0.02190685724625959
3,Falcataria Moluccana,103.74228319901059,0.127311613659477,390.46423419011546,13.090068333496129,0.00038230253473171534,0.873386252071249,0.019508027437257526
4,Falcataria Moluccana,104.51410212402519,0.12189242957315138,507.5181046293801,14.863615649662115,0.0004746713394560111,0.8571175284345949,0.02173764860662246
5,Spathodea Campanulatum,102.01326604172425,0.08939663368689642,464.75586490509306,15.128846815319068,0.00020637489942550152,0.8400212023744309,0.014326269135871126
6,Terminalia Catappa,108.89245868218792,0.12617051263829945,533.0511327484404,15.184122680640847,0.0008213051909579452,0.831716132255957,0.02856176153310877
7,Spathodea Campanulatum,75.35239490847447,0.06887264159414488,530.6664601272764,16.917684237010153,9.365069558975089e-05,0.8682628837470224,0.00965654564441073
8,Shorea Leprosula,82.45365551425319,0.133189412677845,215.03681389378568,10.307918632120197,0.00029453631693352855,0.9146063813878746,0.017128062405408914
9,Syzygium Polyanthum,79.27557797202208,0.0967324364069572,271.5974173151927,11.953432224456774,0.00017471679759765489,0.900761820829466,0.01319200889521989
10,Cinnamomum Iners,94.96063491007956,0.08341215396819165,403.30212574677614,14.62075071339455,0.00014801773317254626,0.8858910435330586,0.012133934842118731
11,Clausena Excavata,82.74815331223965,0.0874601980742967,303.73289130968266,12.844004610143104,0.0001878327203388497,0.8778926232651577,0.013679152581003082
12,Cinnamomum Iners,102.29701079766029,0.10319102328949924,264.18556390682085,11.760887355120499,0.00022779614724962108,0.8934908410691293,0.01505451955113363
13,Cratoxylum Formosum,114.60900665410252,0.15073080352657867,255.9500867354139,10.392463329022366,0.0009402683260713817,0.8809100365642395,0.03056806953093111
14,Alstonia Angulstiloba,116.19594807805603,0.15339089028705502,209.57434714978808,9.310364461669103,0.0007076594070881995,0.8937251853666422,0.026547877509444977
15,Spathodea Campanulatum,107.87827546093384,0.10778838545204204,334.6300835444911,12.913695833655602,0.0003422764129161519,0.8605107336955142,0.018446906086273113
16,Clausena Excavata,89.2551306761323,0.09340017538009673,331.33029901418365,12.895061290134766,0.00017775141756282533,0.9169512918496134,0.01330341167377039
17,Syzygium Polyanthum,101.000709805283,0.08552718428186987,339.3735584826079,13.56589174023619,0.0001947023020864793,0.8498445064426468,0.01392570486897819
18,Sandoricum Koetjape,97.44978982373254,0.09813074518575218,361.96015474878664,13.7340924309774,0.00025827268020882393,0.902229462304038,0.016005930321091415
19,Sterculia Parviflora,103.87925400291098,0.09870852057744772,259.7571514411836,11.865279552893938,0.00023268122791360134,0.859940542978576,0.015219467015568384
20,Alstonia Angulstiloba,118.62558778571474,0.14889889997695838,130.58128928949222,8.046690293742952,0.0006903982475843424,0.8686801070317595,0.026207120992220855
21,Claoxylon Indicum,97.92547218682664,0.08889510626156485,334.6257924548658,13.498858586604555,0.00017343424605139565,0.8682768503389354,0.013138527043495567
22,Bridelia Sp.,93.8070843497406,0.08417081008084254,346.15678220850555,13.731751341581736,0.00015158142453842172,0.8655777131788424,0.012283992960689593
23,Pometia Pinnata,107.13506348225859,0.1387567371190732,181.8676137428417,9.270096408152977,0.0004163829302269598,0.9199259308749038,0.02035274746658952
24,Sterculia Parviflora,104.04510284721647,0.11568002707852348,221.80173946314753,10.728321538403682,0.00032455872932922474,0.8761136843520682,0.017965597501457018
25,Calophyllum,112.56681886854624,0.13558682287136192,199.40819120459747,10.417502549889509,0.002015652594879585,0.8613617339814001,0.044824753029628794
26,Pennisetum Purpureum,94.22897636526979,0.08654378701419799,308.8587419388723,13.099385754915811,0.0001832886072269049,0.8336593307061425,0.013507434969819179
27,Sterculia Parviflora,115.33548619001502,0.20097000372294627,109.18109666287808,6.870215601284824,0.0010303359356644264,0.9086816159438127,0.03202743244080334
28,Campnosperma Auriculatum,101.13960497699046,0.09825673251349522,530.0667163174927,15.750262382229197,0.00033704973498876805,0.8684226469638712,0.018283880971205868
29,Leea Indica,124.0055949688549,0.19896140539000604,115.5463383550582,6.949037565265815,0.0015123553965885957,0.8957657905830363,0.0387591951147574
30,Dillenia Suffruticosa,96.21107799038327,0.10842631979663947,258.64700459201663,11.417419222258832,0.00025794641668629094,0.9044541924836732,0.016031431683798534
31,Sterculia Parviflora,103.9714920258773,0.11435102517424145,176.44706076259322,9.834437767648323,0.0003042032684551211,0.8777827889901455,0.017400170644112804
32,Ficus Variegata,114.25313480005121,0.12014804231500378,316.2911582770611,12.477459146723229,0.0006773276936729323,0.8191404190129064,0.02593126879557896
33,Spathodea Campanulatum,107.04037258030317,0.1008399386357025,451.9327496409144,14.675896731847434,0.0004021778600997775,0.8230531637542906,0.01998178761682886
