index,tree_name,may_r_glcm_mean,may_red_mean_homogeneity,may_red_mean_contrast,may_red_mean_dissimilarity,may_red_mean_ASM,may_red_mean_correlation,may_red_mean_energy
0,Falcataria Moluccana,91.70176359398867,0.10156533925463145,390.4612368290127,13.599778951532766,0.00018808332974246637,0.8053700769537209,0.013690672342921605
1,Ficus Variegata,94.8416929954702,0.08431583537207389,664.2179002885728,17.7940054213408,0.00014715702760663605,0.8435492476100529,0.012099753527365503
2,Bridelia Sp.,93.72414766422227,0.09753374885671956,350.5337000185981,13.135879367219237,0.00016330124125346653,0.89081119824564,0.012748972432555097
3,Falcataria Moluccana,91.61828425285589,0.10867198362302859,405.1792272233731,13.514777114982245,0.00015589204566226876,0.8785168908655347,0.012460858430289387
4,Falcataria Moluccana,94.97887126245715,0.10145327046750567,512.2064180748658,15.169069975762415,0.0001566410865380879,0.8536320662125324,0.012491994317895952
5,Spathodea Campanulatum,99.63605054365404,0.08534508392705607,468.6231435835207,15.310059724169552,0.00016873601793128483,0.8367167016373599,0.01295735903221306
6,Terminalia Catappa,98.99620385309343,0.09915435536752062,563.6546938812867,15.909464195794719,0.00018825635077776586,0.8449208083088986,0.013684790031980237
7,Spathodea Campanulatum,64.5134230043629,0.0687465588375818,527.2075584195138,16.905393537192207,9.429334575312402e-05,0.8620590501932763,0.009689294269450588
8,Shorea Leprosula,74.41503350473366,0.1346531914422967,208.55071399089826,10.156860815827113,0.0003013431705164125,0.8976083945630506,0.017324831778156198
9,Syzygium Polyanthum,68.92522765631756,0.0960652724762468,272.2244873642948,12.000481223778266,0.00017176140962154744,0.9023087328544588,0.01307913276657493
10,Cinnamomum Iners,88.76948044645252,0.0792930562156218,408.8082269685402,14.79710053546848,0.00012601153406087146,0.885030554763103,0.011200287306832693
11,Clausena Excavata,68.97024869757689,0.08718799035752092,301.1794369168468,12.812201560926605,0.00018653454094441345,0.8739321157271318,0.013632428203977878
12,Cinnamomum Iners,92.43246971004847,0.09624606558347308,276.4835394915823,12.099020510784179,0.00017763917051529188,0.894014133764252,0.013299704574895231
13,Cratoxylum Formosum,106.76402576763485,0.13062670067203327,266.71691901395894,10.825020255665734,0.0003453841525127701,0.8940257955698492,0.018531387645834833
14,Alstonia Angulstiloba,106.83967334593045,0.14286726889342807,210.52063200503582,9.492963958363962,0.0004686532087818166,0.8888011921633961,0.021602040279419435
15,Spathodea Campanulatum,101.48480420779033,0.09649903268432025,341.8366643594516,13.208793682737976,0.00020463170367069055,0.8702962721401841,0.014273384707366247
16,Clausena Excavata,76.34202333950053,0.09311861436167487,323.0082694179467,12.80056416772484,0.00017448232376598082,0.9074444866486413,0.013180382433250426
17,Syzygium Polyanthum,91.6068766383155,0.08170932649552357,350.5222568210733,13.859337927268225,0.00016722103058241426,0.8532962368652672,0.012909567824587471
18,Sandoricum Koetjape,88.98689642144984,0.08925008279136964,382.2269221620723,14.203438301998707,0.00013850594722705046,0.9191431488683474,0.011734012258075417
19,Sterculia Parviflora,92.85612980999727,0.09272502117092889,270.24502680264305,12.175911358034908,0.00018774925002832093,0.8721461588313713,0.013673304642558974
20,Alstonia Angulstiloba,103.90374814969044,0.13187376043515003,141.1238812216531,8.523477254068519,0.0003975223497350519,0.8789317670395451,0.019897201592696357
21,Claoxylon Indicum,82.97115430934285,0.08486668387243052,337.8123005669559,13.625320156113125,0.00015606185125317898,0.8677612572182192,0.012465543922789063
22,Bridelia Sp.,87.80873494153188,0.08353800193122166,339.6370434340435,13.64690959609214,0.0001651516104514615,0.845183304225203,0.012823740287566152
23,Pometia Pinnata,93.84061581001697,0.1242825470084874,190.05314786107803,9.609281954657796,0.00023747171570236925,0.9334915680846013,0.01537534147992154
24,Sterculia Parviflora,89.70606180447608,0.10776332851443338,230.0057262856878,10.998500949526381,0.00024079130825208523,0.888252997197969,0.01548774516964107
25,Calophyllum,110.94961856998486,0.1421872964284705,211.433679544345,10.654132370137644,0.0031424842525430772,0.8969880692575034,0.055927391349147176
26,Pennisetum Purpureum,81.30653112186961,0.08416338194176605,313.8859327127145,13.236256755531867,0.00016903837329053175,0.8452712844250165,0.012971707171569712
27,Sterculia Parviflora,117.06763420724066,0.20159877915305177,105.30789813295078,6.82013634642082,0.00109878435303552,0.902668042657433,0.03305402800931312
28,Campnosperma Auriculatum,92.65470087070823,0.08512518128114485,548.8237936835916,16.180513053233113,0.00013046828750711443,0.8717414917915933,0.01139489800159138
29,Leea Indica,117.30807454339765,0.1782809237254057,122.95631361819508,7.324283909780044,0.0007057052351159958,0.9021546277480621,0.02648820557885591
30,Dillenia Suffruticosa,82.33457385724502,0.10485253697316158,258.72505082753753,11.495184113916483,0.00023550428003734465,0.9096529426235486,0.015318086042259364
31,Sterculia Parviflora,93.06831629241647,0.10989932677732173,181.98533311809217,10.01636519352553,0.00026023176835317995,0.8968976190718169,0.016099209690438203
32,Ficus Variegata,104.96998590028772,0.10013437680043226,348.4658173814186,13.334037596052422,0.0002516327597712302,0.8571140334015125,0.015822306758225282
33,Spathodea Campanulatum,99.52256888352508,0.08755086861606597,484.56093004845195,15.317109966208811,0.00017219588859827898,0.8365364906390224,0.01309309271817626
