index,tree_name,dec_NIR_glcm_mean,dec_NIR_mean_homogeneity,dec_NIR_mean_contrast,dec_NIR_mean_dissimilarity,dec_NIR_mean_ASM,dec_NIR_mean_correlation,dec_NIR_mean_energy
0,Falcataria Moluccana,44.893091517857144,0.434230544946118,10.385772664835166,1.957946428571429,0.0032097401318954915,0.9694984502780595,0.05665456849977318
1,Ficus Variegata,40.4569291941402,0.34425499335679566,15.008179987309298,2.684153171296935,0.001942116386937541,0.9567903692457825,0.04406944958741306
2,Bridelia Sp.,28.250140598120954,0.46401136245670876,6.462018658197699,1.6819207357416963,0.0034702960173494377,0.9838683144996452,0.058909218441169614
3,Falcataria Moluccana,47.86008597883606,0.42412734250794243,10.45635582010582,2.009398148148148,0.002323182190185745,0.9786410084571213,0.04819940030939955
4,Falcataria Moluccana,49.70196247232853,0.45043084321038507,8.553143118169999,1.7873115710320109,0.00301533058023429,0.9768912654023687,0.054912025825262445
5,Spathodea Campanulatum,45.583209609539345,0.3307986505492465,17.61222819733458,2.809235445405658,0.0014424428382173048,0.9714525178828687,0.037979505502537876
6,Terminalia Catappa,41.636499509820986,0.3477439916656917,19.288050138300477,2.823995133223627,0.0016467427303937779,0.9588275253194402,0.040580077998862665
7,Spathodea Campanulatum,34.087712088708166,0.41523847745709475,12.967584208620066,2.1893823308165934,0.0018730642494329008,0.9798594067724156,0.0432789122949376
8,Shorea Leprosula,21.385154843914837,0.5140965412562911,7.63222242909452,1.5681747657171228,0.007819306804170072,0.961963631251049,0.08842684436397169
9,Syzygium Polyanthum,30.719950954633056,0.45319478892738296,10.690909090909088,1.8574881765633209,0.00250765194799409,0.9793534181694454,0.050076461017069585
10,Cinnamomum Iners,38.81059966216221,0.32876850025955423,17.073507882882883,2.8061655405405403,0.0014665387251694261,0.9697994980664788,0.03829541389212847
11,Clausena Excavata,35.541712454212494,0.3959115045865028,7.630128205128205,2.0204212454212453,0.002549905070509466,0.9801222296624503,0.05049658474104428
12,Cinnamomum Iners,34.56730769230772,0.32528747391374785,17.780510197389994,2.7793625811528626,0.0014306962259788066,0.9671227048010245,0.037824545284494915
13,Alstonia Angulstiloba,40.61017708486066,0.34573766174838383,10.73864099180555,2.411253930241272,0.0026723797036444933,0.9563915330379708,0.051695064596579174
14,Spathodea Campanulatum,44.379252100840375,0.2978138260144671,19.390067226890757,3.092588235294118,0.0018208932984958692,0.9487335446501642,0.04267192635089104
15,Clausena Excavata,37.85965368608801,0.39314963328296826,9.54280618311534,2.1408045977011496,0.002190445405244404,0.9796713319181967,0.046802194449025614
16,Syzygium Polyanthum,41.01785864889937,0.37122814801694526,11.57792864974277,2.3473475584043184,0.0017290431876092471,0.9830009704310647,0.04158176508530208
17,Sandoricum Koetjape,36.095950358125734,0.4048771163378101,12.55777021829433,2.207131745841809,0.0016889450229757449,0.9844772147722332,0.04109677630880243
18,Sterculia Parviflora,37.64535660926315,0.35811885081780903,11.769245891326573,2.41216481874656,0.0019457747049013204,0.9739360003689626,0.04411093634124445
19,Alstonia Angulstiloba,43.47381769084802,0.3455903863048237,10.765599912421546,2.4108341847905423,0.0028768232914717588,0.9391430711829244,0.05363602605965284
20,Claoxylon Indicum,30.25910128232994,0.3710695541574467,10.16887633123234,2.2689632688545966,0.0025945062829721348,0.9660855998612791,0.05093629632170104
21,Bridelia Sp.,30.753877005347604,0.4837928117709343,4.470345162858532,1.489790957705396,0.0048562980458016075,0.9704983730863028,0.06968714404968543
22,Pometia Pinnata,37.081906956330904,0.4263019980161995,6.076475751590959,1.78439763001975,0.0038139892283868887,0.9706770702317142,0.06175750341769726
23,Sterculia Parviflora,26.823624269300556,0.4354579496454705,5.528388093798293,1.7240475710542227,0.0038054490370135552,0.9721773861753582,0.061688321723107
24,Calophyllum,33.72354983660129,0.43787066088781484,5.373774509803922,1.7087418300653594,0.004369167073828442,0.9741592865675746,0.0660996752929123
25,Pennisetum Purpureum,18.657177143037615,0.5014470903935354,3.1714587971515638,1.3295754188179938,0.0061931859530323825,0.9733154074281439,0.07869679760341193
26,Sterculia Parviflora,28.60048920863308,0.44035711648582976,7.640000000000001,1.8827625899280576,0.0038881565136380104,0.9826325276666322,0.062355084104169164
27,Campnosperma Auriculatum,41.24900196022184,0.296506946148272,28.356461560527823,3.4946811053738758,0.0017252161609766297,0.9188397390662163,0.041535721505429876
28,Leea Indica,32.944871794871766,0.4234513380552717,9.236806231742941,1.9831223628691985,0.002996239371019054,0.9677065611970203,0.05473791529661185
29,Dillenia Suffruticosa,34.55702861952861,0.3594414836761589,11.352413019079686,2.457070707070707,0.0022524038552377496,0.9661764244831865,0.047459496997310766
30,Sterculia Parviflora,41.98915936564269,0.3862425009837917,14.12237994898525,2.3934235333259397,0.003246018890371445,0.9647100623648097,0.05697384391430373
31,Ficus Variegata,46.93270960063476,0.3290147482002438,15.213343030944195,2.6965749801639776,0.0017838807758359162,0.9720855553445685,0.04223601278335724
32,Spathodea Campanulatum,40.48318697982791,0.3174573255978742,22.401890252503875,3.105797714769361,0.0014151162966592199,0.9573505920637845,0.037618031536209066
