index,tree_name,dec_WB_glcm_mean,dec_WB_mean_homogeneity,dec_WB_mean_contrast,dec_WB_mean_dissimilarity,dec_WB_mean_ASM,dec_WB_mean_correlation,dec_WB_mean_energy
0,Falcataria Moluccana,3.475150240384616,0.9253081492480248,0.15884615384615383,0.15092719780219782,0.22797984200643323,0.9126454317987754,0.4774723468499859
1,Ficus Variegata,2.888126948437112,0.820073168542202,0.4069164344635418,0.36756145336165746,0.10885272904624438,0.8763526280419512,0.3299283695686753
2,Bridelia Sp.,1.9986651448987691,0.9377904591769217,0.12572118565568344,0.12463609898107712,0.26967014825979857,0.9113737451268654,0.5192977452866502
3,Falcataria Moluccana,3.521653439153439,0.9153228590581532,0.1840608465608466,0.1717857142857143,0.18613459746520777,0.9269042624320856,0.4314331900366588
4,Falcataria Moluccana,4.074631926631294,0.9287080835031554,0.1504620682385186,0.14385607364981204,0.23438851260309487,0.9140347097594753,0.48413687383124915
5,Spathodea Campanulatum,3.173266892681788,0.8407211860602639,0.34939209726443765,0.323602992751929,0.10947374392921365,0.9037586662645196,0.3308681669928578
6,Terminalia Catappa,3.753166468260913,0.7695926216897725,1.1170083330415603,0.5398226602709989,0.06470361745224133,0.9296916102760239,0.2543690575762731
7,Spathodea Campanulatum,2.0544256540272476,0.9085894185495779,0.1893405399381495,0.18390772574039504,0.204512798326605,0.9013593078418484,0.4522309126172215
8,Shorea Leprosula,1.3325575622168435,0.950232731334947,0.10147086203686465,0.09985725811456587,0.41477911871931267,0.8372811559817237,0.6440334763964624
9,Syzygium Polyanthum,2.137992643194955,0.9183183494506175,0.176353126642144,0.16549308110001756,0.2181434715358335,0.9069341933943527,0.46705831706097845
10,Cinnamomum Iners,3.035515202702703,0.8602013778484366,0.3076576576576577,0.2842342342342342,0.11107010396693145,0.9225052415666665,0.333271816940664
11,Clausena Excavata,2.5682692307692307,0.9146886446886446,0.17106227106227107,0.1706959706959707,0.21747454011190273,0.8949175186469664,0.46634165599043664
12,Cinnamomum Iners,2.8709997376877165,0.8811861708014975,0.25808249721293197,0.24080267558528426,0.142205287800366,0.9156255358117789,0.37710116388094855
13,Alstonia Angulstiloba,3.8434257041851985,0.8563103790951891,0.2968411449424108,0.2889562256650864,0.1332233015636267,0.8928660577281862,0.36499767336741573
14,Spathodea Campanulatum,4.4543445378151265,0.8087955672757056,0.4594453781512605,0.3947731092436975,0.08391817541134101,0.9076021664369602,0.28968633970441376
15,Clausena Excavata,2.7115289338089577,0.9056951050336899,0.19116627031311928,0.18903586999603644,0.18101762223188755,0.9134922462426738,0.42546165776940176
16,Syzygium Polyanthum,2.919414691743274,0.8784262460993505,0.2512439908914565,0.2444969216496584,0.1322835624639404,0.923894433586083,0.363708073135503
17,Sandoricum Koetjape,2.3712242944323836,0.8915554256283058,0.23244841792167395,0.21940545992239185,0.14379852747722008,0.9371876524973235,0.37920776294429953
18,Sterculia Parviflora,2.703172918141071,0.8914052056302587,0.22190768262955102,0.21797593772116064,0.17806699940043444,0.8883710196712106,0.42197985662876664
19,Alstonia Angulstiloba,4.067937162458037,0.8666414174104121,0.28895416727485035,0.2703437454386221,0.14044504245640801,0.8953140478219941,0.37475997979561265
20,Claoxylon Indicum,2.212317974353402,0.8966039991306238,0.21370354270810693,0.20794392523364486,0.19815028387231054,0.8746779692540603,0.4451407461380171
21,Bridelia Sp.,2.0016407389402042,0.9336096256684492,0.13342245989304813,0.13288770053475937,0.3357189821492425,0.8489111345008581,0.5794126182171411
22,Pometia Pinnata,2.056890498134738,0.914900153609831,0.17204301075268819,0.1705069124423963,0.31552447796421973,0.8852503060981733,0.5617156557941213
23,Sterculia Parviflora,1.833131761069677,0.9227440704159108,0.1546731169791037,0.15453873546999933,0.28668944877030916,0.8623000146547557,0.5354338883282502
24,Calophyllum,2.5928308823529407,0.9034313725490196,0.1936274509803922,0.19321895424836605,0.23387591394469012,0.8548294112466069,0.4836071897156722
25,Pennisetum Purpureum,1.3814204285285712,0.945060237159143,0.10987952568171411,0.10987952568171411,0.3639289281476113,0.8671904953978672,0.6032652220604229
26,Sterculia Parviflora,2.4848057553956835,0.8982710114261533,0.21352517985611516,0.20512230215827343,0.21068191667097982,0.9244977060151592,0.45900099855117943
27,Campnosperma Auriculatum,3.115455871103463,0.7900168080031651,0.5954890992541595,0.44804216867469876,0.10157589656989202,0.8590903272803941,0.3187097371745834
28,Leea Indica,3.120886075949367,0.879586268782099,0.2619604024667315,0.24430379746835443,0.1393650006568301,0.9251013120732001,0.3733162207255802
29,Dillenia Suffruticosa,2.4341329966329974,0.891919191919192,0.22895622895622897,0.21829405162738497,0.20359752044072096,0.9169408993336833,0.4512178192854544
30,Sterculia Parviflora,3.3943661971830994,0.8640718110637675,0.30547854053454593,0.2773095264500388,0.13984251421190805,0.891464546417287,0.37395523022403104
31,Ficus Variegata,3.358879925945517,0.8304593172410586,0.37606453319227706,0.3449880983866701,0.09817459473343552,0.9113957431316461,0.3133282539660851
32,Spathodea Campanulatum,2.775184264353224,0.8233671784669395,0.4165785019043589,0.36355621385244746,0.11126194557908228,0.8719780311675345,0.333559508302615
