index,tree_name,dec_WG_glcm_mean,dec_WG_mean_homogeneity,dec_WG_mean_contrast,dec_WG_mean_dissimilarity,dec_WG_mean_ASM,dec_WG_mean_correlation,dec_WG_mean_energy
0,Falcataria Moluccana,8.121288633241763,0.6737441348949864,2.038106112637363,0.8301150412087913,0.02339324547268173,0.9481143409667527,0.15294850595112636
1,Ficus Variegata,6.109829779016193,0.4984950237923913,4.718166331006704,1.4958996606615722,0.010367383567272816,0.9054762043147102,0.1018203494753029
2,Bridelia Sp.,4.441074500463144,0.7450058399417548,0.9441345772131798,0.5745567023951302,0.043207824817698415,0.9503330161889005,0.2078649196418155
3,Falcataria Moluccana,8.227509920634926,0.6670521287981229,1.9757705026455028,0.8390641534391534,0.018984880950193864,0.9584660677443405,0.13778563404866948
4,Falcataria Moluccana,10.22563512421379,0.6507975451491119,2.238992937207913,0.8872448083207422,0.016816295166033668,0.9642000450627957,0.1296776587004626
5,Spathodea Campanulatum,6.8318009118541045,0.502533873429613,4.471019406125789,1.4573299041384147,0.009326541453300927,0.9286176400985122,0.09657402059198389
6,Terminalia Catappa,9.532950308112454,0.4668711668333852,8.434316025349254,1.8359257378943317,0.005587623586383081,0.9328385176933565,0.07475040860345233
7,Spathodea Campanulatum,4.079743961218067,0.7017681200292984,1.3145738723427967,0.702727551333129,0.037953578773415916,0.9411165452033075,0.1948167825763887
8,Shorea Leprosula,4.3894371004778785,0.7773321403843043,0.8104015391298948,0.4959970210389125,0.08844497313778041,0.9193988956679863,0.29739699584525126
9,Syzygium Polyanthum,5.063846558066215,0.6807132391341,1.9196356629882643,0.8030828516377649,0.027264189773157966,0.9425511006936845,0.16511871418212404
10,Cinnamomum Iners,8.491385135135136,0.4300738045955818,7.837105855855856,1.9438626126126124,0.005132665789733991,0.9346094727653854,0.07164262550838008
11,Clausena Excavata,6.50228937728938,0.6207806834068285,1.7486263736263736,0.9114468864468864,0.017261950884890447,0.9442489210270077,0.13138474372959155
12,Cinnamomum Iners,7.27956751262377,0.520592854712836,4.3802052593612695,1.4024034362909041,0.01001030136170376,0.9471269086969479,0.10005149355059004
13,Alstonia Angulstiloba,12.259599563397023,0.40728946347480877,7.232865777169575,1.9686721079126142,0.005050792468535022,0.9200990810648851,0.07106892758818738
14,Spathodea Campanulatum,10.57687394957983,0.37543757450266885,9.909697478991596,2.2496638655462182,0.004359155709342561,0.9119615273829937,0.06602390256068298
15,Clausena Excavata,6.915626238604832,0.5850697347072538,2.201743955608403,1.0366131589377727,0.012759093070367761,0.948311571934638,0.11295615552225456
16,Syzygium Polyanthum,6.290988445643926,0.5339838933422133,4.584043181243148,1.4059205532596777,0.011978997115189741,0.9533573538396664,0.10944860490289376
17,Sandoricum Koetjape,6.069937092941765,0.591352489002964,3.182156959948033,1.1318484076650883,0.013698854993742541,0.96007191234398,0.11704210778067242
18,Sterculia Parviflora,6.674254934339862,0.541607482162472,2.641228277109381,1.1816072973185499,0.01290225805208341,0.926406566043179,0.11358810700105627
19,Alstonia Angulstiloba,9.855550284629985,0.4760527118538958,5.2426835498467375,1.5839840899138813,0.007816407398417269,0.9163090472414187,0.08841044846859035
20,Claoxylon Indicum,5.179336013910021,0.5798738769016468,2.303140621603999,1.0625407520104324,0.01662037073340651,0.9228259542906578,0.12892001680657086
21,Bridelia Sp.,4.589511424404472,0.6840448620691219,1.291200777831794,0.7321341759844433,0.03643543460807908,0.9236798218767636,0.19088068159999608
22,Pometia Pinnata,6.842440201887207,0.5628933649701641,2.6553653719552344,1.1412113232389731,0.013606200619091107,0.9480901438129288,0.11664561980242168
23,Sterculia Parviflora,4.74793388429752,0.6606582988088141,1.2625814687898946,0.7732983941409662,0.02624454033359237,0.9422422516438974,0.16200166768768884
24,Calophyllum,6.8841911764705825,0.5814769027744806,2.3194444444444446,1.0620915032679739,0.02047110119238327,0.9185070610256483,0.14307725602758556
25,Pennisetum Purpureum,3.429223311701641,0.7770147992443589,0.5659450839214943,0.46571297743672335,0.0642473762309895,0.9378259691641625,0.25347066147976477
26,Sterculia Parviflora,8.266935251798559,0.6014605021250793,3.90958273381295,1.209726618705036,0.039518313958904816,0.9621084088827542,0.19879213756812622
27,Campnosperma Auriculatum,5.746181153184164,0.5510238297267319,3.3966819659590746,1.2328122011856952,0.01731602552420247,0.8805407139837776,0.1315903701803535
28,Leea Indica,10.034323271665027,0.5123772179046363,3.949367088607595,1.3810451152223306,0.0073813025799886875,0.9526284416328065,0.08591450738954794
29,Dillenia Suffruticosa,6.703633557800232,0.5938519687070878,2.2810044893378225,1.027918069584736,0.014435029069218178,0.9510845294333017,0.12014586580160874
30,Sterculia Parviflora,8.646806033048685,0.504981172300115,3.9334035710324944,1.389763779527559,0.009819048253450603,0.91235544285207,0.09909111086999985
31,Ficus Variegata,7.792726791854013,0.4434653121192019,5.60531605395398,1.7175879396984923,0.0063955705740943196,0.9231628735614965,0.07997231129643759
32,Spathodea Campanulatum,5.712759204401185,0.5274787141300545,3.726812667513048,1.3253632388207084,0.01323634908818856,0.8979789991790664,0.11504933328006973
