index,tree_name,may_RE_glcm_mean,may_RE_mean_homogeneity,may_RE_mean_contrast,may_RE_mean_dissimilarity,may_RE_mean_ASM,may_RE_mean_correlation,may_RE_mean_energy
0,Falcataria Moluccana,24.38394543658171,0.25753817980026694,36.544945765916985,4.162759617121185,0.0013141650769051439,0.9072276051146794,0.036251414826253936
1,Ficus Variegata,26.967928208232966,0.20156921051971194,55.94637841648881,5.399311050399077,0.0006338552242408776,0.9237013271544223,0.025176481569927075
2,Bridelia Sp.,25.555385218348185,0.2819076756370323,20.287348316977948,3.3041257781998525,0.00123473152823521,0.9593367403957268,0.035138746822207675
3,Falcataria Moluccana,25.08088522765429,0.2724650825601289,31.139731754770878,3.828020863517822,0.001154021301654092,0.9426996088376648,0.03397088903243617
4,Falcataria Moluccana,25.781705179439175,0.22387623082040173,52.847419437122696,4.974079912095387,0.0007613471206912934,0.9230310351180765,0.02759251928859149
5,Spathodea Campanulatum,22.182969064025276,0.2716016802822063,26.022675614891376,3.640246674322902,0.001286000413058378,0.9392349773392589,0.03586084791326577
6,Terminalia Catappa,25.531332164767733,0.2489172742476548,45.349125198818456,4.529112701658715,0.0009003184516675575,0.9231046514089839,0.030005307058378148
7,Spathodea Campanulatum,17.436149564198338,0.356784910919224,12.66179594228375,2.4914304548450894,0.0020876689419535143,0.9632124291519951,0.04569101598731981
8,Shorea Leprosula,13.953241315136477,0.4615100838615742,7.755428039702233,1.8430521091811416,0.0066735328514737485,0.964605013097615,0.08169169389524096
9,Syzygium Polyanthum,17.590725504861638,0.46141470948823604,6.6223784592370984,1.6535228122662677,0.00425574755436014,0.963011397649018,0.06523609088809768
10,Cinnamomum Iners,20.064353416848938,0.3169368989163062,14.413389010406313,2.7990985616756148,0.001862527404464108,0.9540357517283027,0.04315700875250865
11,Clausena Excavata,19.412447478991602,0.4026398860882755,7.548004201680672,1.9842436974789914,0.0032167724626615355,0.9624707958199935,0.05671659777050749
12,Cinnamomum Iners,27.15411514575061,0.31728134832717036,13.938566552901023,2.7617355788060203,0.00151580194247364,0.9690324422545681,0.0389333012018457
13,Cratoxylum Formosum,29.049716914366584,0.32245168349117376,17.508669497522998,2.8685185185185187,0.0016961883180039803,0.9554234850304436,0.041184806883169674
14,Alstonia Angulstiloba,29.739989739989724,0.2951343589932055,16.527324027324028,3.0301455301455302,0.001825705328283831,0.9564685744973327,0.042728273172266525
15,Spathodea Campanulatum,25.1065475167555,0.2654174475492669,23.275505527868475,3.519619636821905,0.0014409983899456168,0.9358579287292169,0.03796048458523174
16,Clausena Excavata,21.490561364400353,0.3495290911145167,11.216938237531624,2.4573182598234347,0.0018671761990202952,0.9746997388950607,0.043210834278225814
17,Syzygium Polyanthum,25.020317449504375,0.31209483779576586,13.7803058687285,2.7783643857079605,0.0018900781191962144,0.9542078184225847,0.04347502868539841
18,Sandoricum Koetjape,23.564010360894834,0.31466559332851785,16.293375394321767,2.942117905825833,0.0014298437680396005,0.9694849340946031,0.03781327502398596
19,Sterculia Parviflora,26.170044517338393,0.31158013868831014,14.146731490159326,2.804592314901593,0.0018825403362208591,0.9557552631415628,0.0433882511311629
20,Alstonia Angulstiloba,33.55694726430319,0.3147258259822092,13.504867510021343,2.7137383518142535,0.0024074542339760875,0.9428067471245416,0.04906581532978014
21,Claoxylon Indicum,19.70123363781901,0.35757828730640734,10.19199547980036,2.34575760429419,0.0028618986656466653,0.9485193315652654,0.05349671640060411
22,Bridelia Sp.,17.173033055451874,0.379829812867082,8.344137530587696,2.1364729791381523,0.003130966594350506,0.9552933711052144,0.05595504083056777
23,Pometia Pinnata,24.901844532279323,0.40222718243411765,9.429512516469039,2.0876659572311747,0.002758582837766414,0.9715609685027511,0.052522212803407416
24,Sterculia Parviflora,26.103636363636387,0.35639938671625665,10.56297520661157,2.3996694214876033,0.0024839184481934297,0.9570467233006044,0.049838925030476225
25,Calophyllum,25.343212669683293,0.39302788299007657,8.06214177978884,2.051282051282051,0.0030085265339457523,0.9652203056095848,0.054850036772510484
26,Pennisetum Purpureum,15.899344154779468,0.4107148053476254,5.996939388970869,1.8424222550144833,0.005303324247581195,0.939046007822291,0.07282392634005115
27,Sterculia Parviflora,22.642446941323342,0.41676582763803044,13.20287141073658,2.406367041198502,0.006454494304092418,0.9659233601673017,0.0803398674637469
28,Campnosperma Auriculatum,22.39948816679185,0.2809889467202274,33.32488104182319,3.916095354370148,0.0011367827610129218,0.9347375308422647,0.03371620917322886
29,Leea Indica,32.29999435411022,0.3802460247241392,8.528794037940381,2.1488256549232165,0.002551652432598175,0.9717996939456334,0.050513883562820376
30,Dillenia Suffruticosa,28.853888888888918,0.3363603382078818,13.857333333333335,2.6924444444444444,0.0021476913580246912,0.96060617789272,0.04634319106432671
31,Sterculia Parviflora,29.993844183985054,0.347374024115281,12.03846153846154,2.5030532847434257,0.0026159338114244935,0.9531426240505196,0.051146200361556614
32,Ficus Variegata,34.61994698849537,0.2340820394138111,30.061820437626885,4.079754116850891,0.0010423249607192616,0.9370185262331867,0.032285057855287506
33,Spathodea Campanulatum,21.50489734299518,0.2850850422646667,26.044106280193237,3.4936714975845415,0.001479278779113865,0.9258204419194317,0.03846139335897576
