index,tree_name,may_WB_glcm_mean,may_WB_mean_homogeneity,may_WB_mean_contrast,may_WB_mean_dissimilarity,may_WB_mean_ASM,may_WB_mean_correlation,may_WB_mean_energy
0,Falcataria Moluccana,6.281447800359075,0.5087950814474348,7.021383420624887,1.6547567699646228,0.012716240471381889,0.8618975838475695,0.11276630911483221
1,Ficus Variegata,7.105679810864563,0.3919562507631975,10.555014426558662,2.2927384405522324,0.004853996132026793,0.8973836461967866,0.06967062603441132
2,Bridelia Sp.,6.080335850706219,0.5389088017673901,3.390949516875443,1.2717134717134717,0.011659338375470386,0.9296761760034976,0.10797841624820391
3,Falcataria Moluccana,6.325392225855856,0.5276413174035537,6.0104800540906025,1.5254860564915622,0.011346580884583037,0.915303486732251,0.10652033085088985
4,Falcataria Moluccana,7.364012740936461,0.4301215416493151,12.376771663843341,2.226342932639166,0.005710871891524628,0.8955338188358036,0.07557031091324573
5,Spathodea Campanulatum,5.649730237343284,0.5145019609466837,3.8814240597186336,1.3752512202124607,0.012345876862187613,0.895816280390841,0.1111120014318328
6,Terminalia Catappa,7.904643222319604,0.41427657252580846,11.022498945044958,2.2076070373616385,0.004879051803477928,0.9010153206792381,0.06985020975972749
7,Spathodea Campanulatum,3.441464330183843,0.6718563663196071,1.3701384311140408,0.7647403501062038,0.034706299600590455,0.924211557700191,0.18629626834853794
8,Shorea Leprosula,4.1448511166253095,0.7242316183395575,1.029854218362283,0.626008064516129,0.051825831359792254,0.9401502869836055,0.22765287470135812
9,Syzygium Polyanthum,4.2452056843679875,0.7205782408340989,1.0413163799551235,0.6291099476439792,0.04003382336569946,0.9382445742276759,0.20008454054648864
10,Cinnamomum Iners,5.805912374892296,0.5287169023299987,3.460489162855439,1.3040896135746005,0.011683779559213198,0.9294218795009124,0.10809153324480691
11,Clausena Excavata,4.571428571428572,0.6959642479438137,0.9521533613445378,0.6632878151260505,0.033351267896864635,0.9305213303332496,0.18262329505532593
12,Cinnamomum Iners,7.067937671347843,0.5565361854987313,2.7912213954008838,1.1639344262295082,0.012269874898843423,0.9423991406864325,0.11076946735830873
13,Cratoxylum Formosum,9.18211842415663,0.48975130668568295,5.0608221278603445,1.5288098608162304,0.007231351807637112,0.943561535688139,0.08503735536596321
14,Alstonia Angulstiloba,10.32771957771957,0.5012221046614271,3.617868617868618,1.3845073845073843,0.009017665567197115,0.9412792531350024,0.0949613898760813
15,Spathodea Campanulatum,8.310384086612823,0.41658263126275796,7.045798247121497,1.9078306696454144,0.006018375189172177,0.9091516802354572,0.07757818758628084
16,Clausena Excavata,5.035941121313449,0.6491448488554218,1.4171930010792066,0.8152433522636803,0.021739146983156713,0.942273606865141,0.14744201227315337
17,Syzygium Polyanthum,6.162658809904971,0.5510403094706618,2.65329200585851,1.1627780237746517,0.01442863134564161,0.9220829053728297,0.1201192380330545
18,Sandoricum Koetjape,5.751866697537115,0.5543551472479636,3.4155500245998907,1.2449714930686193,0.014581568363678637,0.9415877299766194,0.1207541649951613
19,Sterculia Parviflora,6.548251522961583,0.5523170694653496,2.5764702436738522,1.152384020618557,0.01484221175981389,0.9197220684325954,0.12182861634203145
20,Alstonia Angulstiloba,9.946155447967097,0.5308761216581316,2.8475922744546827,1.221708574105888,0.01303755410497894,0.9211879747803079,0.11418210939100285
21,Claoxylon Indicum,5.148036538280436,0.6093773318376359,1.8191920143139662,0.9395988322817592,0.020706740031879747,0.9206193157847535,0.14389836702297823
22,Bridelia Sp.,4.483721123138818,0.6288489172205265,1.6486873211397286,0.8855916386711459,0.024550498622647576,0.9236028246901647,0.15668598732065217
23,Pometia Pinnata,6.156937265632922,0.6085794698678499,2.603273538056147,1.0288334853552246,0.01870696365851495,0.9353515313075513,0.1367734025990249
24,Sterculia Parviflora,6.765454545454546,0.5774302829252211,2.3213223140495867,1.0692561983471074,0.016031739635270815,0.9271024649839429,0.1266165061722634
25,Calophyllum,7.1739064856711865,0.5902573321578366,1.9873303167420813,1.0012066365007541,0.01822884461825106,0.9396109782778624,0.13501423857597783
26,Pennisetum Purpureum,4.537705634803517,0.667296892936663,1.2222878067442748,0.7539487347652618,0.03764802530486501,0.9095574394393241,0.19403099057847695
27,Sterculia Parviflora,8.73233458177278,0.5760000059139038,4.494257178526842,1.3184769038701627,0.029976504088989896,0.9493162462136737,0.1731372406185044
28,Campnosperma Auriculatum,4.848553327698475,0.5458141753515635,3.951148885549712,1.3066616579013273,0.013897738982315104,0.9029384565630106,0.1178886719846954
29,Leea Indica,12.61367999096656,0.49494619519053346,3.7638324299909667,1.4115289069557362,0.007955210766115113,0.9495309047014089,0.08919198823950004
30,Dillenia Suffruticosa,7.732277777777779,0.5707674672705402,2.610333333333333,1.1181111111111113,0.012579499999999997,0.9465669010594674,0.11215837017360762
31,Sterculia Parviflora,8.505294001772874,0.5286446779989852,3.278636856101645,1.2798187727765193,0.012234234754498662,0.9293845309076239,0.11060847505728783
32,Ficus Variegata,7.987705842544549,0.41606577677541484,6.89965034965035,1.9029438303631854,0.006972289478929564,0.8858888910983952,0.08350023640044119
33,Spathodea Campanulatum,5.4776539855072475,0.522525934821924,3.917524154589372,1.3556038647342996,0.01312906261304231,0.8823978134143805,0.11458212169899068
