index,tree_name,may_WR_glcm_mean,may_green_mean_homogeneity,may_green_mean_contrast,may_green_mean_dissimilarity,may_green_mean_ASM,may_green_mean_correlation,may_green_mean_energy
0,Falcataria Moluccana,2.6852170956878334,0.7525300507350366,0.8727575986146671,0.5544709919365975,0.07973482845101018,0.8360391707694884,0.28237356188391677
1,Ficus Variegata,2.6396157515796412,0.6612185213191691,1.478961747586952,0.8031933848576694,0.03858704277863001,0.8831013557268697,0.19643584901598285
2,Bridelia Sp.,2.3901008456564017,0.8008519785519953,0.4962390147575333,0.414386710683007,0.08516250748724469,0.8992717403877651,0.29182615970341774
3,Falcataria Moluccana,2.5966478545441167,0.7624024650888358,0.8360493622736451,0.5313251737476601,0.0672117146199355,0.8951169856158873,0.2592522220154255
4,Falcataria Moluccana,3.0949348564028436,0.694704223725621,1.4154653908288803,0.7295641396270595,0.04173681637925922,0.8857179697566712,0.20429590397083153
5,Spathodea Campanulatum,2.900244640635469,0.6568996831764771,1.6446789166427411,0.8287395923054838,0.039304742838493466,0.8674340072181632,0.19825423788280913
6,Terminalia Catappa,3.37517650209368,0.6173233039976431,2.2848520628428606,0.9828955269906191,0.02529003483822939,0.8808109830197604,0.15902840890303024
7,Spathodea Campanulatum,1.3199434190287858,0.839416659789687,0.3752288874240094,0.3298908664762323,0.14344670800208917,0.8683822525423577,0.3787435913676813
8,Shorea Leprosula,1.7266206575682386,0.8940631561366673,0.22743486352357317,0.21440756823821344,0.22880752824947356,0.8519686685770607,0.47833829895741525
9,Syzygium Polyanthum,1.7093642483171279,0.8699406180514897,0.28927449513836945,0.26486163051608075,0.16872642835045812,0.8940993866007574,0.4107632266287455
10,Cinnamomum Iners,2.495433154371314,0.7528139444517628,0.7283754225492145,0.5324716643467886,0.06407100903533505,0.9092170327444689,0.25312251783540524
11,Clausena Excavata,1.5176995798319328,0.8714968487394957,0.2682247899159664,0.2588760504201681,0.20151382841739637,0.8473223077669256,0.4489029164723664
12,Cinnamomum Iners,2.8612781849717455,0.7771987046232485,0.6671655569853969,0.4808230291501147,0.07355833244160202,0.9213865903972983,0.2712163941239578
13,Cratoxylum Formosum,3.9540870488322724,0.729323126257078,0.9655933003066762,0.6048124557678699,0.04159928889259525,0.9361166113538224,0.20395903729081302
14,Alstonia Angulstiloba,4.237539487539488,0.7618727915108003,0.6120771120771119,0.49878499878499866,0.0587623687463037,0.9180521490280432,0.242409506303494
15,Spathodea Campanulatum,4.169115541043708,0.6144277232889167,2.0508821676118463,0.9569656871169159,0.024806622774957716,0.8956306475333266,0.15750118340811828
16,Clausena Excavata,1.6785821700900516,0.8511542932549062,0.3256904269058613,0.302337101710808,0.1411994464544311,0.8748158133068034,0.3757651480039509
17,Syzygium Polyanthum,2.4565720903300536,0.7631167966058761,0.6389522803910215,0.5008685581933989,0.08086091450958213,0.8648112974871075,0.2843605361325339
18,Sandoricum Koetjape,2.4168379011952643,0.7278542041054428,1.0828582178103205,0.6284258964489337,0.06633688053985996,0.9333974321091704,0.25755946990910655
19,Sterculia Parviflora,2.4998535613870674,0.8050993370637851,0.4683985473289597,0.4028526241799437,0.10152891398846407,0.8941409925651999,0.318636021172221
20,Alstonia Angulstiloba,3.39972408766724,0.7632863027083384,0.6511843406736426,0.502025092404602,0.08020714592445122,0.8758067316531264,0.28320866145732765
21,Claoxylon Indicum,1.8416329221207268,0.8444228619494044,0.3384876165363971,0.3155476033524814,0.14405789883807893,0.869901156427751,0.3795495999709115
22,Bridelia Sp.,2.090881755215462,0.8434557760853789,0.34894861266641786,0.31896229936543485,0.14360697595582747,0.853538501344692,0.3789551107398177
23,Pometia Pinnata,2.323147866626128,0.8324963397558323,0.5213337387250431,0.36444714705584275,0.12379232445626354,0.9416549467354832,0.35184133420657604
24,Sterculia Parviflora,2.47301652892562,0.811862234022662,0.45652892561983477,0.3894214876033058,0.10498520934362408,0.9026748064754566,0.32401421163835403
25,Calophyllum,3.6503770739064825,0.6528855386784586,1.7040723981900452,0.8521870286576169,0.04130257138242233,0.938865529539152,0.20323034070340565
26,Pennisetum Purpureum,1.7490244302344644,0.8439952893892305,0.3410941684429141,0.3168278952833798,0.1716858456229711,0.849609196215476,0.41434990723176357
27,Sterculia Parviflora,4.929900124843945,0.697625210446096,1.2665418227215979,0.7092384519350811,0.05416660042612153,0.9287705592467432,0.23273719175525326
28,Campnosperma Auriculatum,2.406120867768596,0.7175611035584601,1.1010518407212624,0.645786376158277,0.050960353134366365,0.8824230598745149,0.22574399911042234
29,Leea Indica,5.850807362240289,0.7056222038449443,0.9737466124661249,0.6506887985546523,0.03651526718472169,0.9396846775977067,0.19108968361667694
30,Dillenia Suffruticosa,2.726555555555553,0.8010923905806259,0.6845555555555556,0.44166666666666665,0.09096859876543209,0.9306703027108143,0.30161001104975294
31,Sterculia Parviflora,3.564562198365014,0.7757166200955635,0.5973111395646609,0.4729144095341279,0.0723245823195467,0.922162096322705,0.2689323006251698
32,Ficus Variegata,3.3663546131288054,0.6399544829018132,1.627814121362508,0.8601849763140083,0.03265957461289574,0.8972351290102275,0.18071960218220862
33,Spathodea Campanulatum,2.632708333333331,0.6769350690303639,1.4817814009661836,0.7673852657004833,0.043789235345340606,0.8614696485773089,0.20925877602944304
