,importance
RedEdge_HOMOGENEITY_75th,0.024845182594157335
r_mean_contrast,0.02477870289495928
Green_HOMOGENEITY_median,0.021635540468277144
b_mean_correlation,0.01985737908912649
r_mean_dissimilarity,0.019380572718152588
b_mean_homogeneity,0.019302236880397203
g_mean_dissimilarity,0.018284195910561518
g_mean_contrast,0.017914745875360294
Red_MEAN_I_75th,0.017893282479118592
Green_NONE_25th,0.01763857834804157
NIR_mean_energy,0.017381206745625093
b_mean_contrast,0.01646349188278113
NIR_mean_contrast,0.016173513576775062
Wideband_Green_MEAN_I_median,0.014998268979862592
Blue_MEAN_I_25th,0.014833276704664904
r_mean_energy,0.014812145725275006
r_mean_correlation,0.014012571067737038
Wideband_Blue_NONE_75th,0.013731546473923257
Wideband_Red_MEAN_I_mean,0.013414784815618206
g_glcm_mean,0.01318619923556316
g_mean_correlation,0.013184054520796748
Red_MEAN_I_median,0.01311811966472961
b_mean_dissimilarity,0.013116542442105108
Blue_HOMOGENEITY_median,0.012912927138451928
NIR_mean_homogeneity,0.012404729161367084
b_mean_energy,0.012226468790137921
Blue_MEAN_I_75th,0.01213490756175227
NIR_HOMOGENEITY_75th,0.011864258630191407
NIR_NONE_median,0.011624740428021132
Blue_ASM_median,0.011580469436357897
Wideband_Blue_MEAN_I_median,0.01127806202624806
RE_mean_dissimilarity,0.011012613206418926
r_mean_ASM,0.010807499227920715
RedEdge_MEAN_I_mean,0.010749596091922536
NIR_mean_dissimilarity,0.010627497621105327
Red_HOMOGENEITY_75th,0.010319685285732183
Red_HOMOGENEITY_25th,0.01020770128601363
NIR_MEAN_I_75th,0.01012767552844055
RE_mean_energy,0.01012761364966235
Red_MEAN_I_mean,0.010084488212151143
RE_mean_contrast,0.009916937373490692
r_mean_homogeneity,0.009877898110705066
RedEdge_HOMOGENEITY_median,0.009786085238808353
RE_mean_homogeneity,0.009770980309814457
g_mean_energy,0.009765643300712407
Wideband_Blue_MEAN_I_25th,0.009675293195943816
Green_HOMOGENEITY_mean,0.009505007381370589
NIR_MEAN_I_25th,0.009288951178779798
Red_HOMOGENEITY_median,0.009220978607907502
Blue_MEAN_I_median,0.00919720978713795
RE_glcm_mean,0.00919182438712376
b_glcm_mean,0.008874337482099284
Wideband_Blue_MEAN_I_75th,0.008494173909499836
NIR_MEAN_I_median,0.008419663151659915
g_mean_homogeneity,0.008367877091966036
RedEdge_NONE_median,0.008354313213712692
b_mean_ASM,0.008192621339048507
Green_NONE_median,0.007916760206446933
Wideband_Green_MEAN_I_25th,0.007895944008590302
RE_mean_correlation,0.007637279759629459
Wideband_Green_MEAN_I_75th,0.007527631389316535
Green_MEAN_I_mean,0.007436019774694381
Red_HOMOGENEITY_mean,0.0073491317423959816
RedEdge_NONE_mean,0.007236314319008825
NIR_NONE_75th,0.007048550720060899
Green_HOMOGENEITY_25th,0.006970646842778319
Blue_MEAN_I_mean,0.006910647014981318
NIR_mean_ASM,0.006880317036495196
Wideband_Red_MEAN_I_75th,0.00668539799148119
RedEdge_MEAN_I_median,0.006630578513919425
RedEdge_HOMOGENEITY_25th,0.006527742283435909
Blue_ASM_mean,0.006432299441030833
r_glcm_mean,0.006411971150296138
NIR_NONE_25th,0.0063752421515608
Wideband_Blue_NONE_mean,0.006275480352970197
Green_NONE_mean,0.006252041146638397
RedEdge_NONE_75th,0.006249964956922271
Wideband_Green_MEAN_I_mean,0.0061211799459394015
RedEdge_HOMOGENEITY_mean,0.006042306084869791
Blue_ASM_75th,0.006040653321431785
NIR_mean_correlation,0.005997564479799865
Wideband_Blue_MEAN_I_mean,0.00598317360045243
NIR_HOMOGENEITY_25th,0.005489701756729796
RedEdge_MEAN_I_25th,0.005143976615231752
Green_NONE_75th,0.005094895553075955
Green_MEAN_I_median,0.005053000225158739
NIR_HOMOGENEITY_median,0.004956483392783738
g_mean_ASM,0.004918605482122959
NIR_NONE_mean,0.004834015680757024
Blue_HOMOGENEITY_mean,0.004714067907253804
Wideband_Blue_NONE_median,0.004706144087401367
Blue_HOMOGENEITY_25th,0.004425872475310505
Blue_HOMOGENEITY_75th,0.004390153121641927
Wideband_Blue_NONE_25th,0.0043762935659160535
Red_MEAN_I_25th,0.0042819212548998
RedEdge_NONE_25th,0.004275558210735965
RedEdge_MEAN_I_75th,0.004039157308882829
Wideband_Red_MEAN_I_median,0.00394208952811894
Green_HOMOGENEITY_75th,0.0038832662872721148
RE_mean_ASM,0.0037405164056702666
Blue_ASM_25th,0.0033474681712870624
NIR_MEAN_I_mean,0.002777878390271128
NIR_glcm_mean,0.0025999001857917913
NIR_HOMOGENEITY_mean,0.002341653688959079
Wideband_Red_MEAN_I_25th,0.001885675034296182
