,test,pred
0,['Falcataria Moluccana'],['Falcataria Moluccana']
1,['Ficus Variegata'],['Spathodea Campanulatum']
2,['Bridelia Sp.'],['Sterculia Parviflora']
3,['Falcataria Moluccana'],['Falcataria Moluccana']
4,['Falcataria Moluccana'],['Alstonia Angulstiloba']
5,['Spathodea Campanulatum'],['Ficus Variegata']
6,['Terminalia Catappa'],['Spathodea Campanulatum']
7,['Spathodea Campanulatum'],['Syzygium Polyanthum']
8,['Shorea Leprosula'],['Pennisetum Purpureum']
9,['Syzygium Polyanthum'],['Sterculia Parviflora']
10,['Cinnamomum Iners'],['Spathodea Campanulatum']
11,['Clausena Excavata'],['Dillenia Suffruticosa']
12,['Cinnamomum Iners'],['Dillenia Suffruticosa']
13,['Alstonia Angulstiloba'],['Alstonia Angulstiloba']
14,['Spathodea Campanulatum'],['Ficus Variegata']
15,['Clausena Excavata'],['Sterculia Parviflora']
16,['Syzygium Polyanthum'],['Cinnamomum Iners']
17,['Sandoricum Koetjape'],['Cinnamomum Iners']
18,['Sterculia Parviflora'],['Sterculia Parviflora']
19,['Alstonia Angulstiloba'],['Alstonia Angulstiloba']
20,['Claoxylon Indicum'],['Syzygium Polyanthum']
21,['Bridelia Sp.'],['Sterculia Parviflora']
22,['Pometia Pinnata'],['Sterculia Parviflora']
23,['Sterculia Parviflora'],['Syzygium Polyanthum']
24,['Calophyllum'],['Sterculia Parviflora']
25,['Pennisetum Purpureum'],['Shorea Leprosula']
26,['Sterculia Parviflora'],['Leea Indica']
27,['Campnosperma Auriculatum'],['Spathodea Campanulatum']
28,['Leea Indica'],['Sterculia Parviflora']
29,['Dillenia Suffruticosa'],['Clausena Excavata']
30,['Sterculia Parviflora'],['Alstonia Angulstiloba']
31,['Ficus Variegata'],['Spathodea Campanulatum']
32,['Spathodea Campanulatum'],['Spathodea Campanulatum']
33,['Falcataria Moluccana'],['Falcataria Moluccana']
34,['Ficus Variegata'],['Falcataria Moluccana']
35,['Bridelia Sp.'],['Spathodea Campanulatum']
36,['Falcataria Moluccana'],['Falcataria Moluccana']
37,['Falcataria Moluccana'],['Ficus Variegata']
38,['Spathodea Campanulatum'],['Spathodea Campanulatum']
39,['Terminalia Catappa'],['Spathodea Campanulatum']
40,['Spathodea Campanulatum'],['Spathodea Campanulatum']
41,['Shorea Leprosula'],['Shorea Leprosula']
42,['Syzygium Polyanthum'],['Pennisetum Purpureum']
43,['Cinnamomum Iners'],['Sandoricum Koetjape']
44,['Clausena Excavata'],['Claoxylon Indicum']
45,['Cinnamomum Iners'],['Sterculia Parviflora']
46,['Cratoxylum Formosum'],['Sterculia Parviflora']
47,['Alstonia Angulstiloba'],['Sterculia Parviflora']
48,['Spathodea Campanulatum'],['Spathodea Campanulatum']
49,['Clausena Excavata'],['Cinnamomum Iners']
50,['Syzygium Polyanthum'],['Cinnamomum Iners']
51,['Sandoricum Koetjape'],['Cinnamomum Iners']
52,['Sterculia Parviflora'],['Syzygium Polyanthum']
53,['Alstonia Angulstiloba'],['Sterculia Parviflora']
54,['Claoxylon Indicum'],['Syzygium Polyanthum']
55,['Bridelia Sp.'],['Pennisetum Purpureum']
56,['Pometia Pinnata'],['Sterculia Parviflora']
57,['Sterculia Parviflora'],['Sterculia Parviflora']
58,['Calophyllum'],['Sterculia Parviflora']
59,['Pennisetum Purpureum'],['Bridelia Sp.']
60,['Sterculia Parviflora'],['Sterculia Parviflora']
61,['Campnosperma Auriculatum'],['Falcataria Moluccana']
62,['Leea Indica'],['Alstonia Angulstiloba']
63,['Dillenia Suffruticosa'],['Clausena Excavata']
64,['Sterculia Parviflora'],['Sterculia Parviflora']
65,['Ficus Variegata'],['Spathodea Campanulatum']
66,['Spathodea Campanulatum'],['Spathodea Campanulatum']
